name,address,postalCode,city,state,phone,email,website,iconUrl,capabilities,fb_handle,industryId
Africa Sun Power,ROUTE SALTANIYA KM7 - Rue ELHEDI KEFECHA,3071,SFAX Est,Sfax,98285214,africasunpowerasp@gmail.com,,africa-solar.webp,some PV projects,aestunisie,76
AKER Services,18 - Rue Ibn khaldoun - App. N°17 - étage 3,1001,bab bhar,Tunis,71254122,energie@aker-services.com,www.aker-services.com,/aker-services.webp,fake,,76
Alternative Energy Systems - AES,Rempoin jasmin et ward,4000,Sousse,Sousse,73212908,aes@planet.tn,https://www.aes-tunisie.com,aes-tunisie.webp,some PV projects,aestunisie,76
AMA Energy,Rue nozha - appartement 100 - bloc 11,2080,Ariana,Ariana,96777111,contact@amaenergy.com.tn,www.amaenergy.com.tn,amaenergy.webp,under construction,,76
ATER,Z.I Sidi Bouzid BP 143,9100,Sidi Bouzid,Sidi Bouzid,76627902,info@ater-tunisia.com,www.ater-tunisia.com,ater-tunisia.webp,Some Small projects in the south,,76
AZ Solar,Rue abou kacem chebbi,6011,Gabes Sud,Gabès,75213501,contact@az-solar.tn,www.az-solar.tn,az-solar.webp,under construction,,76
BENELEC,complexe Nawres - Rue lac limene - bloc C - Lac,1053,Marsa,Tunis,28109540,contact@benelec.tn,www.benelec.tn,benelec.webp,Distributor,,76
Biome Négoce Distribution (B.N.D),28 Rue Mouaouia Ibn Abi Soufien,,Menzah 8,Ariana,21508047,c.zoubaeir@biome-solar.com,www.biome-solar.com,biome-solar.webp,Mostly Solar Water Heaters,,76
BJ Engineering,N°9 Rue SISSILIYA CITE EL GHAZEL,2083,RAOUED,Ariana,24772670,contact@engineering-bj.com,www.engineering-bj.com,engineering-bj.webp,Sells products and proposes studies,,76
BSA Energy,Route Echabba cité Ibnkhaldoun,4070,Msaken,Msaken,21588602,contact@bsa-energy.com,www.bsa-energy.com,bsa-energy.webp,Mostly Solar Water Heaters,,76
Candela Solar Power,Rue 14 janvier - immeuble amal centre,3000,Sfax,Sfax,58105001,chokri.aloulou@candela.com.tn,www.candela.com.tn,candela.webp,Small Projects,,76
Cap Electrique,Rue mourouj,5111,Mahdia,Mahdia,99950860,contact@capelectrique.com,www.capelectrique.com,capelectrique.webp,Not secure No projects,,76
Cap Sud Tunisie,Rue Ribat Immeuble M farej,4000,Sousse Medina,Sousse,73226356,direction@capsud-tunisie.com,www.capsud-tunisie.com,capsud-tunisie.webp,Small and larger projects up to 93 kwc,,76
CELECTRONIX,Imm. Koueit - av.H.bourguiba,2033,Megrine,Tunis,71427461,aymen@celectronix.com,www.celectronix.com,celectronix.webp,Distributor,,76
Compto EnergiesRenouvelables - CER,6.Rue Annaba - Z.I. Ben Arous,2013,Ben Arous Sud,Ben Arous,79396376,contact@compto-cer.com,www.compto-cer.com,compto-cer.webp,"Not secure, claims 13 MWc many projects the best so far",,76
CONURESOL,16 Rue des Emeraudes Résidence Zarrad Office AM1 ,1053,Les Berges du Lac,Tunis,24206310,contact@conuresol.com,www.conuresol.com,conuresol.webp,No projects,,76
Développement et Energies Renouvelables,4 Rue Hannibal,3200,Tataouine,Tataouine,25351764,contact@denergie.tn,www.denergie.tn,denergie.webp,No projects,,76
Domotech,17 Rue des Aghlabites (Bd 7novembre),1004,El Menzah 5,Tunis,71238700,info@westpoint.tn,www.westpoint.tn,westpoint.webp,Distributor,,76
Earth Renew Energy - ERE,Route Gabès,4100,medenine nord,Medenine,98332102,contact@earthrenewenergy.com.tn,www.earthrenewenergy.com.tn,earthrenewenergy.webp,No projects,,76
Eco Volt Innovation,Rue 18 janvier - bureau C,2080,Ariana centre,Ariana,22490882,mtoukebri@ecovoltinnovation.com,www.ecovoltinnovation.com,ecovoltinnovation.webp,No projects,,76
